"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "HTML", "TypeScript JSX", "Markdown", "CSS", "XML", "Properties", "comment", "blank", "total"
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\assistence-per-shift\modules\Tabs\Assitance\HeadBoard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\assistence-per-shift\modules\Tabs\Historical\HistoricalTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 3, 47
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\assistence-per-shift\modules\Tabs\Historical\RowBoard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 4, 83
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\colaborators\RowBoard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 2, 3, 28
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\colaborators\boardTechnitian.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 1, 4, 36
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\colaborators\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\colaborators\modules\Tabs\ColaboratorsTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 6, 44
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\colaborators\modules\Tabs\TechnitiansTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 1, 6, 56
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\colaborators\modules\boardTechnitian\CellBoard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\colaborators\modules\boardTechnitian\HeadBoard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\colaborators\modules\boardTechnitian\RowBoard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 7, 3, 51
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\escalated-issues\Board.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\escalated-issues\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\escalated-issues\modules\CellBoard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\escalated-issues\modules\FormStatus.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 3, 45
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\escalated-issues\modules\HeadBoard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\escalated-issues\modules\RowBoard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 3, 7, 88
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\escalated-issues\modules\ShiftTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\goals\GoalsReport.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 6, 61
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\goals\MonthDetails.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 8, 133
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\goals\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\hourlyIssues\Board.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 3, 5, 53
